INPUT:comment	GOLDEN:quality
I’m not woke, I’m trying to educate myself each day and share what I learn.	0
Maybe instead of defending your words based on your ego you could understand why what you said is NOT the case and educate yourself on why it’s problematic	-1
MANY individuals bring up various topics that they feign interest in to distract from the important topic that is being discussed	0
yeah doesn’t take a dummy to see that peak male “devils advocate” who argues so much your point is lost in your mess	-1
For real. I hate it when people pull that bullshit.	-1
Why is nobody talking about how dangerous peanuts are?	0
Couldn't have said it better!!!	1
Make a post about when her parents come and how she manipulates conversations then.	0
love your work babe ❤️	1
You guys are the best!	1
