INPUT:comment	GOLDEN:quality
I can’t wait to be a cool old lady ✌🏽 #womensrights #plannedparenthood #feminism #feminist #prochoice	1
except for women. smart, attractive, women with personalities deserved to be worshiped. #women #men	1
I rarely do this but this #notallmen thing got me in my feelings! Fellas, we can do better. #toomanywomen #manenough #equality #feminism #masculinity	1
its the hypocrisy for me 🥴 #fypシ #foryou #politics #leftist #feminism #trending	-1
the man thought I didn’t understand Marx because I used the term “basic needs” in reference to socialism. #sexism #feminism	-1
at least they come in pastel colors right? #feminism #foryou #fyp	0
Just my 2 cents #fyp #fy #virall #feminism #feminist	0
just because it’s common, doesn’t make it easy to go through.  #baby #feminism #feminist #bodypositivity #mentalhealth	0
The fact that boys still try to gatekeep video games is ridiculous. #feminism #womenempowerment #fyp #foryou	-1
We love to see it!❤️🖤 #harleyquinn #poisonivy #ivy #cottagecore #rollerskating #birdsofprey  #feminism #feminist #bipride #dccomics #marvel #disney	1
