INPUT:comment	GOLDEN:quality	HINT:EN
these people so annoying💀 #foryoupage #foryou #vegan #feminism #meme #funny #viral #xyzbca	-1	Negative sentiment: expressed in word 'annoying' and the emojjii
#stitch with @swaggyleffy some fun facts about red lipstick 💄👄 also I look GREAT in red lips idk what she’s talk about #redlips #feminism	1	Positive sentiment: expressed in such words as 'great', 'fun'
ow do you expect me to respect you when you don’t respect yourself 🎶 	0	Neutral sentiment: no strong emotion in the text
A wonderful day to love girls. #girls #bi #bisexual #bisexualdoubts #feminism	1	Positive sentiment: expressed in word 'wonderful'
this speech gives me chills every👏single👏time #AOC #feminism	1	Positive sentiment: expressed in word 'chills' and emojjii
I need u to tag every single person that says “all men”, they done after this one.. #fyp #viral #ftb #feminism	0	Neutral sentiment: no strong emotion in the text
any guy who says “not all men” is just proving that they don’t know how to treat women right #feminism #feminist #notallmen	0	Neutral sentiment: no strong emotion in the text
the worst part is that a lot of that hate is going to come from other girls :/ #fyp #feminism #doublestandards #girladvice	-1	Negative sentiment: expressed in emojjii ':/' and 'worst'
Why default to husbands first?! #fyp #foryou #feminism #sexism #subtle sexism	-1	Negative sentiment: expressed in '?!' and 'sexism' hashtag
daily reminder that your gender doesn’t determine if you’re funny 🤠 #feminism #womensrights #fyp #foryou #forthegirls	0	Neutral sentiment: no strong emotion in the text
